oX	pcsl	cdli
o0901712	SANGA~b	SANGA~b
o0901713	SANGA~b~v1	SANGA~b
o0901714	SANGA~c	SANGA~c
o0901718	SAR~a	SAR~a
o0901723	|SAR~a×ŠE~a|	|SAR~axSZE~a|
o0901719	SAR~b	SAR~b
o0901720	SAR~c	SAR~c
o0901724	SI	SI
o0901729	|SI×GU₄|	|SIxGU4|
o0901734	|SI×ŠE₃~v1|	|SIxSZE3|
o0901725	SI~v1	SI
o0901739	SI₄~a	SI4~a
o0901740	SI₄~b	SI4~b
o0901741	SI₄~c	SI4~c
o0901742	SI₄~d	SI4~d
o0901743	SI₄~d~v1	SI4~d
o0901744	SI₄~f	SI4~f
o0901745	SI₄~f~v1	SI4~f
o0901746	SIG	SIG
o0901749	SIG@g	SIG@g
o0901751	SIG₂~a1	SIG2~a1
o0901752	SIG₂~a2	SIG2~a2
o0901753	SIG₂~a3	SIG2~a3
o0901754	SIG₂~a3~v1	SIG2~a3
o0901755	SIG₂~a3~v2	SIG2~a3
o0901756	SIG₂~a4	SIG2~a4
o0901757	SIG₂~b	SIG2~b
o0901767	|SIG₂~b×1(N14)|	|SIG2~bx1(N14)|
o0901769	|SIG₂~b&SIG₂~b|	|SIG2~b.SIG2~b|
o0901758	SIG₂~c1	SIG2~c1
o0901759	SIG₂~c2	SIG2~c2
o0901760	SIG₂~d1	SIG2~d1
o0901761	SIG₂~d2	SIG2~d2
o0901762	SIG₂~d2~v1	SIG2~d2
o0901763	SIG₂~d3	SIG2~d3
o0901764	SIG₂~d4	SIG2~d4
o0901765	SIG₂~e	SIG2~e
o0901770	SIG₄	SIG4
o0901771	SIG₇	SIG7
o0901772	SIG₇~v1	SIG7
o0901773	SIKIL	SIKIL
o0901775	SILA₃~a	SILA3~a
o0901781	|SILA₃~a×A|	|SILA3~axA|
o0901783	|SILA₃~a×AMAR|	|SILA3~axAMAR|
o0901786	|SILA₃~a×DUG~a|~v1	|SILA3~axDUG~a|
o0901787	|SILA₃~a×DUG~b|	|SILA3~axDUG~b|
o0901790	|SILA₃~a×GA~a~v3|	|SILA3~axGA~a|
o0901792	|SILA₃~a×GARA₂~a|	|SILA3~axGARA2~a|
o0901794	|SILA₃~a×GEŠTU~a~v2|	|SILA3~axGESZTU~a|
o0901795	|SILA₃~a×GEŠTU~c3|	|SILA3~axGESZTU~c3|
o0901796	|SILA₃~a×GEŠTU~c5|	|SILA3~axGESZTU~c5|
o0901800	|SILA₃~a×HAŠHUR|	|SILA3~axHASZHUR|
o0901802	|SILA₃~a×HI|	|SILA3~axHI|
o0901804	|SILA₃~a×HI@g~a|	|SILA3~axHI@g~a|
o0901806	|SILA₃~a×IB~a|	|SILA3~axIB~a|
o0901808	|SILA₃~a×KAŠ~a|	|SILA3~axKASZ~a|
o0901809	|SILA₃~a×KAŠ~c|	|SILA3~axKASZ~c|
o0901810	|SILA₃~a×KAŠ~d|	|SILA3~axKASZ~d|
o0901812	|SILA₃~a×KU₆~a|	|SILA3~axKU6~a|
o0901814	|SILA₃~a×KUR~a|	|SILA3~axKUR~a|
o0901816	|SILA₃~a×MA~v1|	|SILA3~axMA|
o0901818	|SILA₃~a×MAŠ|	|SILA3~axMASZ|
o0901826	|SILA₃~a×NAGA~a|	|SILA3~axNAGA~a|
o0901829	|SILA₃~a×NI~a|	|SILA3~axNI~a|
o0901834	|SILA₃~a×NUN~b|	|SILA3~axNUN~b|
o0901836	|SILA₃~a×SUHUR|	|SILA3~axSUHUR|
o0901838	|SILA₃~a×SUM~a~v1|	|SILA3~axSUM~a|
o0901839	|SILA₃~a×SUM~b|	|SILA3~axSUM~b|
o0901841	|SILA₃~a×ŠE~a|	|SILA3~axSZE~a|
o0901843	|SILA₃~a×ŠE~a@t|	|SILA3~axSZE~a@t|
o0901845	|SILA₃~a×ŠU|	|SILA3~axSZU|
o0901848	|SILA₃~a×ŠU₂~b|	|SILA3~axSZU2|
o0901850	|SILA₃~a×X|	|SILA3~axX|
o0901852	|SILA₃~a×ZATU629~v1|	|SILA3~axZATU629|
o0901854	|SILA₃~a×ZATU646|	|SILA3~axZATU646|
o0901856	|SILA₃~a×(ZATU659.TU~c~v1)|	|SILA3~ax(ZATU659.TU~c)|
o0901822	|SILA₃~a×1(N57)|	|SILA3~ax1(N57)|
o0901824	|SILA₃~a×1(N58)|	|SILA3~ax1(N58)|
o0901785	|SILA₃~a~v1×DUG~a|	|SILA3~axDUG~a|
o0901776	SILA₃~b	SILA3~b
o0901788	|SILA₃~b×DUG~a|	|SILA3~bxDUG~a|
o0901798	|SILA₃~b×GUG₂|	|SILA3~bxGUG2|
o0901827	|SILA₃~b×NAGA~b|	|SILA3~bxNAGA~b|
o0901831	|SILA₃~b×NI~b|	|SILA3~bxNI~b|
o0901777	SILA₃~c	SILA3~c
o0901830	|SILA₃~c×NI~a|	|SILA3~bxNI~a|
o0901846	|SILA₃~c×ŠU|	|SILA3~cxSZU|
o0901858	|SILA₃~c×ZATU687|	|SILA3~cxZATU687|
o0901832	|SILA₃~d×NI~a|	|SILA3~dxNI~a|
o0901860	SILA₄~a	SILA4~a
o0901861	SILA₄~b	SILA4~b
o0901862	SILA₄~c	SILA4~c
o0901864	SILA₄~d	SILA4~d
o0901865	SILANITA	SILANITA
o0901866	SIMUG	SIMUG
o0901867	SIMUG~v1	SIMUG
o0901868	SIPA	SIPA
o0901870	SU~a	SU~a
o0901875	|SU~a×1(N58)|	|SU~ax1(N58)|
o0901871	SU~a~v1	SU~a
o0901872	SU~b	SU~b
o0901876	SU₃	SU3
o0901878	SUG	SUG
o0901879	SUG₅	SUG5
o0901880	SUH₃	SUH3
o0901881	SUHUR	SUHUR
o0901883	SUHUR@g	SUHUR@g
o0901884	SUHUR@n	SUHUR@n
o0901887	SUKKAL	SUKKAL
o0901888	SUKUD	SUKUD
o0901890	|(SUKUD+SUKUD)~a|	|(SUKUD+SUKUD)~a|
o0901891	|(SUKUD+SUKUD)~b|	|(SUKUD+SUKUD)~b|
o0901892	|(SUKUD+SUKUD)~c|	|(SUKUD+SUKUD)~c|
o0901893	|(SUKUD+SUKUD)~d|	|(SUKUD+SUKUD)~d|
o0901895	SUKUD@g~a	SUKUD@g~a
o0901896	SUKUD@g~b	SUKUD@g~b
o0901897	SUKUD@g~b~v1	SUKUD@g~b
o0901898	SUKUD@g~c	SUKUD@g~c
o0901899	SUKUD@g~d	SUKUD@g~d
o0901902	SUM~a	SUM~a
o0901906	SUM~a@t	SUM~a@t
o0901903	SUM~a~v1	SUM~a
o0901904	SUM~b	SUM~b
o0901907	SUMAŠ	SUMASZ
o0901908	SUR	SUR
o0901909	SUSA	SUSA
o0901910	ŠA	SZA
o0901914	|(ŠA×HI@g~a)~a|	|(SZAxHI@g~a)~a|
o0901915	|(ŠA×HI@g~a)~b|	|(SZAxHI@g~a)~b|
o0901916	ŠA@g	SZA@g
o0901911	ŠA~v1	SZA
o0901912	ŠA~v2	SZA
o0901918	ŠA₃~a1	SZA3~a1
o0901919	ŠA₃~a2	SZA3~a2
o0901920	ŠA₃~b	SZA3~b
o0901921	ŠA₃~c	SZA3~c
o0901922	ŠA₃~d	SZA3~d
o0901926	ŠAB~a	SZAB~a
o0901927	ŠAB~a~v1	SZAB~a
o0901928	ŠAB~b	SZAB~b
o0901929	ŠAB~b~v1	SZAB~b
o0901930	ŠAGAN	SZAGAN
o0901931	ŠAGAN~v1	SZAGAN
o0901932	ŠAGINA	SZAGINA
o0901934	ŠAH₂~a	SZAH2~a
o0901935	ŠAH₂~b	SZAH2~b
o0901936	ŠAH₂~c	SZAH2~c
o0901938	ŠAKIR~a	SZAKIR~a
o0901939	ŠAKIR~b	SZAKIR~b
o0901940	ŠAKIR~c	SZAKIR~c
o0901941	ŠAM₂	SZAM2
o0901943	ŠANDANA~a	SZANDANA~a
o0901944	ŠANDANA~b	SZANDANA~b
o0901946	ŠE~a	SZE~a
o0901953	|ŠE~a.KIN₂~c|	|SZE~a.KIN2~c|
o0901955	|ŠE~a.NAM₂|	|SZE~a.NAM2|
o0901956	|ŠE~a.NAM₂|~v1	|SZE~a.NAM2|
o0901959	|ŠE~a&ŠE~a|	|SZE~a&SZE~a|
o0901961	ŠE~a@t	SZE~a@t
o0901947	ŠE~b	SZE~b
o0901948	ŠE~c	SZE~c
o0901962	ŠE₃	SZE3
o0901964	ŠE₃@t	SZE3@t
o0901963	ŠE₃~v1	SZE3
o0901965	ŠE₃~v1@t	SZE3@t
o0901966	ŠEG₉	SZEG9
o0901967	ŠELU	SZELU
o0901969	ŠEN~a	SZEN~a
o0901970	ŠEN~a~v1	SZEN~a
o0901971	ŠEN~b	SZEN~b
o0901972	ŠEN~b~v1	SZEN~b
o0901973	ŠEN~c	SZEN~c
o0901981	ŠEN~c@t	SZEN~c@t
o0901974	ŠEN~d	SZEN~d
o0901979	|ŠEN~d×A|	|SZEN~dxA|
o0901975	ŠEN~d~v1	SZEN~d
o0901976	ŠEN~d~v2	SZEN~d
o0901977	ŠEN~e	SZEN~e
o0901983	ŠENNUR~a	SZENNUR~a
o0901984	ŠENNUR~b	SZENNUR~b
o0901986	ŠEŠ~a	SZESZ~a
o0901987	ŠEŠ~a~v1	SZESZ~a
o0901988	ŠEŠ~b	SZESZ~b
o0901990	ŠIDIM	SZIDIM
o0901991	ŠIDIM@t	SZIDIM@t
o0901993	ŠIM~a	SZIM~a
o0901994	ŠIM~a~v1	SZIM~a
o0901995	ŠIM~a~v2	SZIM~a
o0901996	ŠIM~b	SZIM~b
o0901998	ŠIR~a	SZIR~a
o0901999	ŠIR~a~v1	SZIR~a
o0902000	ŠIR~b	SZIR~b
o0902001	ŠIR~b~v1	SZIR~b
o0902002	ŠIR~b~v2	SZIR~b
o0902004	ŠITA~a1	SZITA~a1
o0902014	|ŠITA~a1×KAK~a|	|SZITA~a1xKAK~a|
o0902020	|ŠITA~a1×ŠU|	|SZITA~a1xSZU|
o0902022	|ŠITA~a1×ŠU₂~b|	|SZITA~a1xSZU2|
o0902024	|ŠITA~a1×UDU~a|	|SZITA~a1xUDU~a|
o0902016	|ŠITA~a1×1(N06)|	|SZITA~a1x1(N06)|
o0902026	ŠITA~a1@g	SZITA@g~b
o0902005	ŠITA~a2	SZITA~a2
o0902006	ŠITA~a3	SZITA~a3
o0902007	ŠITA~b1	SZITA~b1
o0903420	ŠITA~b1@g	SZITA@g~a
o0902008	ŠITA~b2	SZITA~b2
o0902012	|ŠITA~b2@g×HI@g~a|	|SZITA~b1xHI@g~a|
o0902009	ŠITA~b3	SZITA~b3
o0902018	|ŠITA~b3×NAM₂|	|SZITA~b3xNAM2|
o0902028	ŠITA~b3@g	SZITA@g~a
o0902030	|ŠITA~b3@g×1(N04)|	|SZITA@g~ax1(N04)|
o0902032	|ŠITA~b3@g×1(N06)|	|SZITA@g~ax1(N06)|
o0902010	ŠITA~c	SZITA~c
o0902033	ŠU	SZU
o0902034	|ŠU×1(N58)|	|SZUx1(N58)|
o0902035	|ŠU&ŠU|	|SZU&SZU|
o0902036	ŠU@g	SZU@g
o0902037	ŠU@s	SZU@s
o0902039	ŠU₂~a	SZU2
o0902041	|ŠU₂~a.AN|	|SZU2.AN|
o0902046	|ŠU₂~a.EN~a~v1|	|SZU2.EN~a|
o0902047	|ŠU₂~a.EN~a~v2|	|SZU2.EN~a|
o0902048	|ŠU₂~a.EN~b~v1|	|SZU2.EN~b|
o0902050	|ŠU₂~a.(HI×1(N57))&(HI×1(N57))|	|SZU2.((HI+1(N57))+(HI+1(N57)))|
o0902056	|ŠU₂~a.URI₃~a~v1|	|SZU2.URI3~a|
o0902040	ŠU₂~b	SZU2
o0902043	|ŠU₂~b.E₂~a|	|SZU2.E2~a|
o0902044	|ŠU₂~b.E₂~b|	|SZU2.E2~b|
o0902049	|ŠU₂~b.GIŠ|	|SZU2.GISZ|
o0902051	|ŠU₂~b.1(N02)|	|SZU2.1(N02)|
oX	|ŠU₂~b.2(N57)|	|SZU2.2(N57)|
o0902059	ŠU₁₂	SZU12
o0902060	ŠUBUR	SZUBUR
o0902061	ŠUM	SZUM
o0902063	ŠUR₂~a	SZUR2~a
o0902064	ŠUR₂~b	SZUR2~b
o0902068	ŠURUPPAK~a	SZURUPPAK~a
o0902069	ŠURUPPAK~a~v1	SZURUPPAK~a
o0902070	ŠURUPPAK~b	SZURUPPAK~b
o0902071	ŠURUPPAK~b~v1	SZURUPPAK~b
o0902072	ŠURUPPAK~c	SZURUPPAK~c
o0902074	TA~a	TA~a
o0902075	TA~b	TA~b
o0902076	TA~c	TA~c
o0902077	TA~d	TA~d
o0902081	|TA~d×MAŠ|	|TA~dxMASZ|
o0902078	TA~e	TA~e
o0902079	TA~f	TA~f
o0902083	TAG~a1	TAG~a1
o0902092	TAG~a1@t	TAG~a1@t
o0902084	TAG~a2	TAG~a2
o0902085	TAG~a3	TAG~a3
o0902086	TAG~a4	TAG~a4
o0902087	TAG~b	TAG~b
o0902088	TAG~c	TAG~c
o0902089	TAG~d	TAG~d
o0902094	TAK₄~a	TAK4~a
o0902098	TAK₄~a@n	TAK4~a@n
o0902095	TAK₄~a~v1	TAK4~a
o0902096	TAK₄~c	TAK4~c
o0902100	TAR~a	TAR~a
o0902101	TAR~d	TAR~d
o0902102	TE	TE
o0902103	TI	TI
o0902105	TI@g	TI@g
o0902106	TI@r	TI@r
o0902107	TI@t	TI@t
o0902104	TI~v1	TI
o0902108	TIDNUM	TIDNUM
o0902109	TILLA₂	TILLA2
o0902111	TU~a	TU~a
o0902112	TU~b	TU~b
o0902114	TU~c	TU~c
o0902116	TUG₂~a	TUG2~a
o0902121	|TUG₂~a.(BAD&BAD)|	|TUG2~a.(BAD&BAD)|
o0902123	TUG₂~a@g	TUG2~a@g
o0902124	TUG₂~a@g~v1	TUG2~a@g
o0902117	TUG₂~b	TUG2~b
o0902118	TUG₂~c	TUG2~c
o0902119	TUG₂~d	TUG2~d
o0902128	TUM~a	TUM~a
o0902133	TUM~a@g	TUM~a@g
o0902129	TUM~b	TUM~b
o0902130	TUM~c	TUM~c
o0902131	TUM~d	TUM~d
o0902136	TUN₃~a	TUN3~a
o0902137	TUN₃~b	TUN3~b
o0902138	TUN₃~c	TUN3~c
o0902139	TUR	TUR
o0902144	TUR@g	TUR@g
o0902140	TUR~v1	TUR
o0902143	|TUR~v1×X|	|TURxX|
o0902141	TUR~v2	TUR
o0902142	TUR~v3	TUR
o0902146	TUR₃~a	TUR3~a
o0902154	TUR₃~a@n	TUR3~a@n
o0902147	TUR₃~b	TUR3~b
o0902152	|TUR₃~b×TAK₄~a|	|TUR3~bxTAK4~a|
o0902148	TUR₃~c	TUR3~c
o0902156	U₂~a	U2~a
o0902157	U₂~b	U2~b
o0902158	U₂~b~v1	U2~b
o0902159	U₂~b~v2	U2~b
o0902160	U₂~c	U2~c
o0902161	U₄	U4
o0902177	|U₄.ŠU₂~b|	|U4.SZU2|
o0902163	|U₄.1(N08)|	|U4.1(N08)|
o0902164	|U₄.2(N08)|	|U4.2(N08)|
o0902165	|U₄.3(N08)|	|U4.3(N08)|
o0902166	|U₄.4(N08)~v1|	|U4.4(N08)|
o0902167	|U₄.5(N08)|	|U4.5(N08)|
o0902168	|U₄.6(N08)|	|U4.6(N08)|
o0902169	|U₄.7(N08)|	|U4.7(N08)|
o0902170	|U₄.8(N08)|	|U4.8(N08)|
o0902171	|U₄.1(N14)|	|U4.1(N14)|
o0902172	|U₄.(1(N14).3(N08))|	|U4.(1(N14).3(N08))|
o0902173	|U₄.(1(N14).4(N08))|	|U4.(1(N14).4(N08))|
o0902174	|U₄.(1(N14).5(N08))|	|U4.(1(N14).5(N08))|
o0902175	|U₄.(1(N14).8(N08))|	|U4.(1(N14).8(N08))|
o0902176	|U₄.2(N14)|	|U4.2(N14)|
o0902216	|U₄×X|	|U4xX|
o0902217	|U₄×(X+2(N01))|	|U4x(X+2(N01))|
o0902178	|U₄×1(N01)|	|U4x1(N01)|
o0902179	|U₄×1(N01).5(N08)|	|U4x1(N01).5(N08)|
o0902182	|U₄×2(N01)|	|U4x2(N01)|
o0902185	|U₄×2(N01).X|	|U4x2(N01).X|
o0902183	|U₄×2(N01).2(N14)|	|U4x2(N01).2(N14)|
o0902184	|U₄×2(N01).(2(N14).1(N08))|	|U4x2(N01).(2(N14).1(N08))|
o0902186	|U₄×3(N01)|	|U4x3(N01)|
o0902187	|U₄×3(N01).3(N08)~v1|	|U4x3(N01).3(N08)|
o0902188	|U₄×4(N01)|	|U4x4(N01)|
o0902189	|U₄×4(N01).2(N14)|	|U4x4(N01).2(N14)|
o0902190	|U₄×5(N01)|	|U4x5(N01)|
o0902191	|U₄×5(N01).1(N14)|	|U4x5(N01).1(N14)|
o0902192	|U₄×6(N01)|	|U4x6(N01)|
o0902193	|U₄×8(N01)|	|U4x8(N01)|
o0902194	|U₄×8(N01).X|	|U4x8(N01).X|
o0902195	|U₄×N(N01)|	|U4x(X(N01))|
o0902181	|U₄×1(N01@f)|	|U4x1(N01)F|
o0902196	|U₄×1(N14)|	|U4x1(N14)|
o0902198	|U₄×(1(N14).2(N01))|	|U4x(1(N14).2(N01))|
o0902200	|U₄×(1(N14).4(N01))|	|U4x(1(N14).4(N01))|
o0902201	|U₄×(1(N14).8(N01))|	|U4x(1(N14).8(N01))|
o0902202	|U₄×2(N14)|	|U4x2(N14)|
o0902203	|U₄×(2(N14).4(N01))|	|U4x(2(N14).4(N01))|
o0902204	|U₄×(3(N14).2(N01))|	|U4x(3(N14).2(N01))|
o0902205	|U₄×(3(N14).7(N01))|	|U4x(3(N14).7(N01))|
o0902206	|U₄×1(N57)|	|U4x1(N57)|
o0902207	|U₄×2(N57)|	|U4x2(N57)|
o0902208	|U₄×3(N57)|	|U4x3(N57)|
o0902209	|U₄×4(N57)|	|U4x4(N57)|
o0902210	|U₄×5(N57)|	|U4x5(N57)|
o0902211	|U₄×6(N57)|	|U4x6(N57)|
o0902212	|U₄×7(N57)|	|U4x7(N57)|
o0902213	|U₄×8(N57)|	|U4x8(N57)|
o0902214	|U₄×10(N57)|	|U4x10(N57)|
o0902215	|U₄×1(N58@t)|	|U4x1(N58)@t|
o0902226	U₄@t	U4@t
o0902220	U₈	U8
o0902225	|U₈×TAR~b|	|(U8xTAR)~b|
o0902221	U₈~v1	U8
o0902222	U₈~v2	U8
o0902223	U₈~v3	U8
o0902227	UB	UB
o0902229	UBI~a	UBI~a
o0902230	UBI~c	UBI~c
o0902231	UBI~c~v1	UBI~c
o0902234	UD₅~a	UD5~a
o0902241	UD₅~a@g	UD5~a@g
o0902235	UD₅~a~v1	UD5~a
o0902236	UD₅~a~v2	UD5~a
o0902237	UD₅~b	UD5~b
o0902238	UD₅~c	UD5~c
o0902243	UDU~a	UDU~a
o0902247	|UDU~a×TAR~a|	|(UDU~axTAR)~a|
o0902248	|UDU~a×TAR~b|	|(UDU~axTAR)~b|
o0902244	UDU~b	UDU~b
o0902245	UDU~c	UDU~c
o0902250	UDUNITA~a	UDUNITA~a
o0902251	UDUNITA~b	UDUNITA~b
o0902252	UDUNITA~c	UDUNITA~c
o0902254	UH	UH
o0902256	UH₃~a	UH3~a
o0902259	UH₃~a@t	UH3~a@t
o0902257	UH₃~b	UH3~b
o0902261	UKKIN~a	UKKIN~a
o0902262	UKKIN~a~v1	UKKIN~a
o0902263	UKKIN~b	UKKIN~b
o0902268	|UKKIN~b×DIN|	|UKKIN~bxDIN|
o0902270	|UKKIN~b×(DIN.1(N01))|	|UKKIN~bx(DIN.1(N01))|
o0902272	|UKKIN~b×DUG~a|	|UKKIN~bxDUG~a|
o0902274	|UKKIN~b×HI@g~a|	|UKKIN~bxHI@g~a|
o0902282	|UKKIN~b×NI~a|	|UKKIN~bxNI~a|
o0902284	|UKKIN~b×X|	|UKKIN~bxX|
o0902276	|UKKIN~b×2(N01)|	|UKKIN~bx2(N01)|
o0902278	|UKKIN~b×3(N01)|	|UKKIN~bx3(N01)|
o0902280	|UKKIN~b×5(N01)|	|UKKIN~bx5(N01)|
o0902264	UKKIN~b~v1	UKKIN~b
o0902265	UKKIN~c	UKKIN~c
o0902286	UMBIN~a	UMBIN~a
o0902287	UMBIN~b1	UMBIN~b1
o0902288	UMBIN~b2	UMBIN~b2
o0902289	UMBIN~c	UMBIN~c
o0902290	UMUN₂	UMUN2
o0902291	UMUN₂~v1	UMUN2
o0902293	UNUG~a	UNUG~a
o0902300	UNUG~a@s	UNUG~a@s
o0902294	UNUG~a~v1	UNUG~a
o0902298	|UNUG~a~v1×A@t|	|UNUG~axA@t|
o0902295	UNUG~b	UNUG~b
o0902296	UNUG~c	UNUG~c
o0902302	UR~a	UR~a
o0902306	|UR~a×KAR₂~b|	|UR~axKAR2|
o0902308	UR~a@g	UR~a@g
o0902303	UR~b	UR~b
o0902304	UR~c	UR~c
o0902309	UR₂	UR2
o0902311	|UR₂×TAR~c|	|UR2xTAR|
o0902310	|UR₂×1(N57)|	|UR2x1(N57)|
o0902313	UR₃~a1	UR3~a1
o0902314	UR₃~a1~v1	UR3~a1
o0902315	UR₃~a2	UR3~a2
o0902316	UR₃~a3	UR3~a3
o0902317	UR₃~b1	UR3~b1
o0902321	|UR₃~b1×MAŠ|	|UR3~b1xMASZ|
o0902318	UR₃~b2	UR3~b2
o0902323	UR₄~a	UR4~a
o0902324	UR₄~b	UR4~b
o0902325	UR₄~c	UR4~c
o0902327	UR₅~a	UR5~a
o0902328	UR₅~b	UR5~b
o0902329	URI	URI
o0902330	URI₂	URI2
o0902332	URI₃~a	URI3~a
o0902336	|URI₃~a+IB~a|	|URI3~a+IB~a|
o0902333	URI₃~a~v1	URI3~a
o0902334	URI₃~b	URI3~b
o0902337	URI₅	URI5
o0902339	URU~a1	URU~a1
o0902345	|URU~a1×A|	|URU~a1xA|
o0902347	|URU~a1×AMAR~v2|	|URU~a1xAMAR|
o0902349	|URU~a1×GU₄|	|URU~a1xGU4|
o0902351	|URU~a1×HI@g~a|	|URU~a1xHI@g~a|
o0902365	|URU~a1×NIMGIR|	|URU~a1xNIMGIR|
o0902367	|URU~a1×U₄|	|URU~a1xU4|
o0902369	|URU~a1×X|	|URU~a1xX|
o0902357	|URU~a1×1(N57)|	|URU~a1x1(N57)|
o0902359	|URU~a1×2(N57)|	|URU~a1x2(N57)|
o0902371	URU~a1@n	URU~a1@n
o0902340	URU~a2	URU~a2
o0902363	|URU~a2×1(N58)|	|URU~a2x1(N58)|
o0902353	|URU~a3×KALAM~a|	|URU~a3xKALAM~a|
o0902341	URU~b1	URU~b1
o0902342	URU~b2	URU~b2
o0902343	URU~c	URU~c
o0902373	URUDU~a	URUDU~a
o0902374	URUDU~a~v1	URUDU~a
o0902375	URUDU~a~v2	URUDU~a
o0902376	URUDU~c	URUDU~c
o0902377	URUDU~d	URUDU~d
o0902379	URUDU@g~a	URUDU@g~a
o0902380	URUDU@g~b	URUDU@g~b
o0902381	URUDU@g~c	URUDU@g~c
o0902382	URUDU@g~d	URUDU@g~d
o0902384	UŠ~a	USZ~a
o0902392	|UŠ~a&UŠ~a|	|USZ~a&USZ~a|
o0902385	UŠ~b	USZ~b
o0902388	|UŠ~b×TAR~c|	|USZ~bxTAR~c|
o0902390	|UŠ~b×TAR~d|	|USZ~bxTAR~d|
o0902393	|UŠ~b&UŠ~b|	|USZ~b&USZ~b|
o0902386	UŠ~b~v1	USZ~b
o0902389	|UŠ~b~v2×TAR~c|	|USZ~bxTAR~c|
o0902394	UŠUMGAL	USZUMGAL
o0902396	UŠUR₃~a	USZUR3~a
o0902397	UŠUR₃~b1	USZUR3~b1
o0902398	UŠUR₃~b2	USZUR3~b2
o0902400	UTUA~a	UTUA~a
o0902404	UTUA~a@t	UTUA~a@t
o0902401	UTUA~b	UTUA~b
o0902402	UTUA~b~v1	UTUA~b
o0902406	UTUL~a	UTUL~a
o0902407	UTUL~b	UTUL~b
o0902408	UTUL~c	UTUL~c
o0902409	UTUL~d	UTUL~d
o0902411	UZ~a	
o0902412	UZU	UZU
o0902416	ZA~v	ZA~x
o0902418	ZABALAM~a	ZABALAM~a
o0902419	ZABALAM~b	ZABALAM~b
o0902420	ZADIM	ZADIM
o0902422	ZAG~a	ZAG~a
o0902423	ZAG~a~v1	ZAG~a
o0902424	ZAG~b	ZAG~b
o0902425	ZAG~c	ZAG~c
o0902427	ZAR~a	ZAR~a
o0902428	ZAR~b1	ZAR~b1
o0902429	ZAR~b2	ZAR~b2
o0902430	ZAR~c	ZAR~c
o0902431	ZATU620	ZATU620
o0902433	ZATU621~a	ZATU621~a
o0902434	ZATU621~b	ZATU621~b
o0902435	ZATU621~c	ZATU621~c
o0902436	ZATU621~d	ZATU621~d
o0902437	ZATU622	ZATU622
o0902438	ZATU623	ZATU623
o0902439	ZATU623~v1	ZATU623
o0902440	ZATU623~v2	ZATU623
o0902442	ZATU624~a	ZATU624~a
o0902443	ZATU624~b	ZATU624~b
o0902444	ZATU624~c	ZATU624~c
o0902445	ZATU625	ZATU625
o0902446	ZATU625~v1	ZATU625
o0902448	ZATU626~a	ZATU626~a
o0902449	ZATU626~b	ZATU626~b
o0902450	ZATU626~c	ZATU626~c
o0902451	ZATU627	ZATU627
o0902453	ZATU628~a	ZATU628~a
o0902454	ZATU628~a~v1	ZATU628~a
o0902455	ZATU628~b	ZATU628~b
o0902456	ZATU629	ZATU629
o0902457	ZATU629~v1	ZATU629
o0902458	ZATU630	ZATU630
o0902459	ZATU631	ZATU631
o0902461	ZATU632~a	ZATU632~a
o0902462	ZATU632~a~v1	ZATU632~a
o0902463	ZATU632~b	ZATU632~b
o0902464	ZATU632~c	ZATU632~c
o0902466	ZATU633~a	ZATU633~a
o0902467	ZATU633~b	ZATU633~b
o0902468	ZATU634	ZATU634
o0902469	ZATU635	ZATU635
o0902470	ZATU636	ZATU636
o0902471	ZATU636~v1	ZATU636
o0902472	ZATU637	ZATU637
o0902473	ZATU639	ZATU639
o0902474	ZATU640	ZATU640
o0902475	ZATU641	ZATU641
o0902476	ZATU642	ZATU642
o0902477	ZATU643	ZATU643
o0902479	ZATU644~a	ZATU644~a
o0902482	|ZATU644~a×1(N14)|	|ZATU644~ax1(N14)|
o0902480	ZATU644~b	ZATU644~b
o0902483	ZATU646	ZATU646
o0902484	ZATU647	ZATU647
o0902485	ZATU647~v1	ZATU647
o0902486	ZATU648	ZATU648
o0902487	ZATU649	ZATU649
o0902488	ZATU649~v1	ZATU649
o0902489	ZATU650	ZATU650
o0902490	ZATU651	ZATU651
o0902493	|ZATU651×AN|	|ZATU651xAN|
o0902495	|ZATU651×EN~a~v2|	|ZATU651xEN~a|
o0902496	|ZATU651×GAR|	|ZATU651xGAR|
o0902497	|ZATU651×MA|	|ZATU651xMA|
o0902499	|ZATU651×NUN~a|	|ZATU651xNUN~a|
o0902502	|ZATU651×X|	|ZATU651xX|
o0902504	|ZATU651×ZAR~c|	|ZATU651xZAR~c|
o0902505	ZATU651@g	ZATU651@g
o0902491	ZATU651~v1	ZATU651
o0902492	ZATU651~v2	ZATU651
o0902501	|ZATU651~v2×ŠE~a|	|ZATU651xSZE~a|
o0902506	ZATU659	ZATU659
o0902507	|ZATU659×1(N01)|	|ZATU659x1(N01)|
o0902508	|ZATU659×1(N14)|	|ZATU659x1(N14)|
o0902509	|ZATU659×1(N58@t)|	|ZATU659x1(N58)@t|
o0902511	ZATU662	ZATU662
o0902515	|ZATU662×1(N14)|	|ZATU662x1(N14)|
o0902512	ZATU662~v1	ZATU662
o0902516	|ZATU662~v1×1(N14)|	|ZATU662x1(N14)|
o0902513	ZATU662~v2	ZATU662
o0902517	|ZATU662~v2×1(N14)|	|ZATU662x1(N14)|
o0902514	ZATU662~v3	ZATU662
o0902518	ZATU664	ZATU664
o0902519	ZATU665	ZATU665
